product_id;onsale_web;price;stock_quantity;stock_status;purchase_price
5747;1;24,5;12;instock;12,15
5753;1;10,1;31;instock;5,01
5756;1;42,2;9;instock;25,85
5760;1;13,1;24;instock;8,43
5761;1;19,5;125;instock;12,07
5764;1;12,9;20;instock;6,33
5766;1;35,6;4;instock;17,66
5767;1;175;12;instock;90,42
5768;1;35,6;7;instock;18,21
5769;1;33,6;6;instock;16,49
5770;1;34,4;19;instock;18,13
5771;1;38,4;6;instock;20,04
5772;1;29,7;12;instock;15,04
5773;1;32,8;9;instock;17,79
5777;1;5,7;51;instock;3,03
5778;1;5,8;44;instock;3,09
5779;1;5,8;30;instock;2,88
5794;1;21,7;15;instock;10,65
5795;1;23;16;instock;11,29
5796;1;12,5;21;instock;6,2
5797;1;17,2;29;instock;9,24
5799;1;40,2;3;instock;19,94
5800;0;32,3;0;outofstock;16,02
5801;1;24;22;instock;12,9
5802;1;23,8;34;instock;12,54
5803;1;17,1;47;instock;9,19
5804;1;25;25;instock;12,4
5805;0;29,2;0;outofstock;15,09
5806;1;17,4;39;instock;8,99
5807;1;27,3;12;instock;13,82
5808;0;34,2;1;instock;18,55
5809;1;17,9;32;instock;9,71
5810;1;24;27;instock;12,77
5815;1;16,6;26;instock;9,01
5816;1;16,9;32;instock;8,73
5817;1;57,6;6;instock;28,87
5818;1;63,5;2;instock;32,48
5819;1;56;6;instock;28,07
5820;1;63,5;7;instock;32,48
5826;1;41,2;34;instock;21,71
5827;1;55;4;instock;29,55
5829;1;57;5;instock;29,74
5890;1;19,3;29;instock;9,77
5891;1;19;24;instock;9,72
5892;1;191,3;98;instock;116,06
5893;1;26,6;13;instock;14,29
5894;1;15,4;29;instock;7,56
5896;1;24,7;23;instock;12,76
5899;1;28,1;35;instock;14,37
5900;1;18,25;21;instock;8,96
5902;1;35,1;10;instock;18,14
5903;1;27,3;15;instock;13,82
5904;1;18,8;27;instock;9,32
5905;1;43,9;6;instock;22,23
5906;1;19,8;38;instock;9,72
5907;1;17,7;14;instock;9,42
5912;1;57;4;instock;25,08
5913;1;36;7;instock;17,16
5914;1;36;4;instock;17,16
5916;1;93;1;instock;40,49
5917;1;122;12;instock;54,24
5918;1;114;12;instock;52,25
5922;1;48,5;4;instock;24,31
5925;1;49,5;15;instock;25,06
5930;1;14,1;0;outofstock;6,92
5932;1;59,9;13;instock;27,18
5950;1;46;4;instock;24,72
5951;1;74,5;4;instock;39,65
5952;0;42,5;0;outofstock;22,84
5953;0;47,5;0;outofstock;23,81
5954;0;18,8;0;outofstock;9,32
5955;0;27,3;0;outofstock;13,68
5956;1;17,2;32;instock;8,8
5957;0;39;0;outofstock;20,75
5958;1;8,7;44;instock;4,5
5959;1;15,4;24;instock;7,72
5960;1;12,7;40;instock;6,36
5962;1;30;8;instock;15,5
5963;1;13,5;34;instock;6,63
5964;1;16,3;31;instock;8,51
5967;1;56,3;5;instock;30,54
5968;1;71,5;9;instock;35,83
5969;1;69;10;instock;37,43
6035;1;17,9;13;instock;9,34
6038;1;48,5;0;outofstock;25,31
6041;1;71,7;11;instock;36,3
6042;1;8,5;25;instock;4,57
6047;1;10,9;29;instock;5,58
6049;1;21,8;30;instock;10,81
6050;1;38,5;0;outofstock;20,09
6070;1;9,3;30;instock;4,95
6072;1;13,6;3;instock;7,03
6073;1;24,5;29;instock;12,41
6093;1;12,6;51;instock;6,71
6094;1;13,4;24;instock;6,65
6095;1;29,8;31;instock;15,86
6100;0;12,9;0;outofstock;6,47
6101;1;36,9;4;instock;20,02
6103;1;40,7;7;instock;21,87
6104;1;33,2;7;instock;17,84
6105;1;34,8;5;instock;17,8
6106;1;74,8;3;instock;40,19
6107;1;62,4;7;instock;31,27
6108;1;46;7;instock;24,72
6109;1;39,2;17;instock;21,06
6125;0;14,2;0;outofstock;7,26
6126;1;135;138;instock;80,33
6127;1;10,6;32;instock;5,42
6128;1;10,6;45;instock;5,64
6129;1;5,2;68;instock;2,74
6137;1;46;7;instock;24
6201;1;105,6;16;instock;57,29
6202;1;116,4;12;instock;63,15
6204;1;31;17;instock;15,86
6205;1;20,2;38;instock;10,54
6206;1;25,2;16;instock;13,15
6207;1;25,2;22;instock;12,89
6212;1;115;16;instock;59,42
6213;1;121;9;instock;63,14
6214;1;99;9;instock;49,62
6215;1;115;14;instock;56,45
6216;1;121;14;instock;60,02
6221;1;23,5;22;instock;12,02
6222;1;26,4;29;instock;13,23
6223;1;26,7;17;instock;13,8
6225;1;20,4;26;instock;10,22
6226;1;20,4;26;instock;10,96
6227;1;40,2;11;instock;21,39
6278;1;9;24;instock;4,65
6279;1;45,9;10;instock;22,77
6280;1;10,4;38;instock;5,53
6299;1;78;0;outofstock;41,51
6301;1;40,5;0;outofstock;20,51
6324;0;92;18;instock;99
6325;1;27,9;22;instock;15,14
6327;0;28,5;0;outofstock;14,43
6328;1;22,4;16;instock;11,23
6567;1;28,4;28;instock;14,67
6568;1;72;7;instock;35,71
6569;1;29;58;instock;15,28
6570;1;29,2;19;instock;14,33
6572;1;44;12;instock;22,28
6573;1;68,3;5;instock;35,29
6575;1;41,8;7;instock;22,03
6578;1;40;7;instock;19,63
6584;1;13,5;22;instock;6,91
6585;1;19;29;instock;10,31
6592;1;24,4;29;instock;12,1
6594;0;-9,1;19;instock;4,61
6615;1;32,8;12;instock;16,95
6616;1;15,4;33;instock;7,88
6617;1;9,9;33;instock;5,22
6618;1;13,5;49;instock;7,18
6620;1;51;11;instock;27,14
6621;1;35,2;7;instock;17,46
6622;1;42,2;16;instock;22,02
6626;1;33,2;11;instock;16,47
6627;1;41,8;4;instock;22,24
6628;1;32,2;7;instock;16,8
6629;1;37,7;10;instock;19,48
6631;1;47,2;10;instock;24,39
6632;1;52,7;0;outofstock;26,41
6635;1;22,4;16;instock;10,99
6663;1;50,4;6;instock;26,04
6664;1;35,6;16;instock;19,31
6665;1;27,7;16;instock;14,6
6666;1;48,5;7;instock;25,56
6738;1;15,4;42;instock;8,12
6751;1;46,5;7;instock;24,51
6753;1;46,5;6;instock;22,82
6821;0;28;21;instock;14,61
6824;0;28;8;instock;14,32
6825;0;24;5;instock;12,4
6826;0;18;11;instock;8,93
6864;0;40;32;instock;21,08
6866;0;40;42;instock;20,67
6869;0;40;4;instock;19,84
6875;0;40;17;instock;20,46
6884;1;46,5;9;instock;24,99
6886;1;42;8;instock;20,62
6887;1;21,8;15;instock;11,71
6898;0;30;51;instock;14,88
6899;0;26;3;instock;13,7
6900;0;30;0;outofstock;16,28
6901;0;20;0;outofstock;10,64
6902;0;31;6;instock;16,5
